,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Paul Stastny 2016,Paul Stastny,2016,C,29.761,72,193,79.0,68.0,71.0,74,64,15.834,14.5446,15.4056,14.3755,15.3979,0.3579749999999997
Paul Stastny 2017,Paul Stastny,2017,C,30.763,72,193,68.0,71.0,74.0,64,66,14.5446,15.4056,14.3755,15.3979,14.9227,-0.00820000000000043
Paul Stastny 2018,Paul Stastny,2018,C,31.763,72,193,71.0,74.0,64.0,66,82,15.4056,14.3755,15.3979,14.9227,14.676,-0.3494250000000001
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,74.0,64.0,66.0,82,50,14.3755,15.3979,14.9227,14.676,14.9753,0.13227499999999992
Paul Stastny 2020,Paul Stastny,2020,C,33.761,72,193,64.0,66.0,82.0,50,83,15.3979,14.9227,14.676,14.9753,13.6324,-1.3605750000000008
Paul Stastny 2021,Paul Stastny,2021,C,34.763,72,193,66.0,82.0,50.0,83,82,14.9227,14.676,14.9753,13.6324,14.3682,-0.18340000000000067
Paul Stastny 2022,Paul Stastny,2022,C,35.763,72,193,82.0,50.0,83.0,82,71,14.676,14.9753,13.6324,14.3682,14.6594,0.24642500000000034
Paul Stastny 2023,Paul Stastny,2023,C,36.762,72,193,50.0,83.0,82.0,71,73,14.9753,13.6324,14.3682,14.6594,10.2404,-4.168425000000001
Sidney Crosby 2009,Sidney Crosby,2009,C,21.153,71,200,,,,53,77,,,,14.9711,15.6093,0.6381999999999994
Sidney Crosby 2010,Sidney Crosby,2010,C,22.153,71,200,,,53.0,77,81,,,14.9711,15.6093,16.0276,0.7374000000000009
Sidney Crosby 2011,Sidney Crosby,2011,C,23.152,71,200,,53.0,77.0,81,41,,14.9711,15.6093,16.0276,16.0098,0.4737999999999989
Sidney Crosby 2014,Sidney Crosby,2014,C,26.153,71,200,81.0,41.0,22.0,61,80,16.0276,16.0098,14.4553,16.0194,17.1671,1.5390750000000022
Sidney Crosby 2015,Sidney Crosby,2015,C,27.152,71,200,41.0,22.0,61.0,80,77,16.0098,14.4553,16.0194,17.1671,15.9857,0.07279999999999909
Sidney Crosby 2016,Sidney Crosby,2016,C,28.151,71,200,22.0,61.0,80.0,77,80,14.4553,16.0194,17.1671,15.9857,16.36,0.453125
Sidney Crosby 2017,Sidney Crosby,2017,C,29.153,71,200,61.0,80.0,77.0,80,75,16.0194,17.1671,15.9857,16.36,16.1344,-0.24865000000000137
Sidney Crosby 2018,Sidney Crosby,2018,C,30.153,71,200,80.0,77.0,80.0,75,82,17.1671,15.9857,16.36,16.1344,16.7821,0.3703000000000003
Sidney Crosby 2019,Sidney Crosby,2019,C,31.152,71,200,77.0,80.0,75.0,82,79,15.9857,16.36,16.1344,16.7821,17.1975,0.8819500000000033
Sidney Crosby 2020,Sidney Crosby,2020,C,32.151,71,200,80.0,75.0,82.0,79,48,16.36,16.1344,16.7821,17.1975,16.0671,-0.551400000000001
Sidney Crosby 2021,Sidney Crosby,2021,C,33.154,71,200,75.0,82.0,79.0,48,80,16.1344,16.7821,17.1975,16.0671,17.1973,0.6520249999999983
Sidney Crosby 2022,Sidney Crosby,2022,C,34.153,71,200,82.0,79.0,48.0,80,69,16.7821,17.1975,16.0671,17.1973,16.4693,-0.34169999999999945
